MeasureName,Aliases,Domain,Business Capability,Capability Description,Capability Confidence,Measure Description,Evidence / Source Excerpt
JDA Forecast,Test Fcst,Demand Planning,External Forecast Integration,"Integrates external system forecasts (e.g., JDA, Mosaic) and market-based signals into the planning workflow.",HIGH,"Forecast sourced from the JDA planning system, ingested as an external benchmark or test forecast within the planning platform.",JDA Forecast integrated as external benchmark
LLLY Sales,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Three years ago actual sales volume providing extended historical context for trend analysis and long-range forecasting.,LLLY Sales as three-year historical baseline
Adjusted History,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,"Cleansed and adjusted historical demand data with outliers, one-off events, and data errors corrected to create a reliable statistical baseline.",Adjusted History with cleansed demand data for forecasting
Adjusted Fcst LC,Adjusted ST Fcst LC,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Short-term adjusted forecast expressed in local currency, enabling financial consolidation and multi-currency planning workflows.",Adjusted Fcst in Local Currency for financial consolidation
Adjusted Fcst LC,Adjusted ST Fcst LC,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Short-term adjusted forecast expressed in local currency, enabling financial consolidation and multi-currency planning workflows.",Adjusted Fcst in Local Currency for financial consolidation
LY Adjusted History,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Last year's adjusted and cleansed historical demand data used as a calibrated baseline for year-over-year forecast comparison.,LY Adjusted History for cleansed prior-year reference
LLY Adjusted History,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Two-year-ago adjusted historical demand data supporting multi-year trend detection and statistical model training.,LLY Adjusted History for multi-year baseline analysis
LLLY Adjusted History,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Three-year-ago adjusted historical demand data providing the deepest historical layer for long-range forecasting and seasonality calibration.,LLLY Adjusted History for extended historical reference
Final Long Term Driver Based Forecast,Final Long Term Driver Based Fcst,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Final output of the long-term driver-based forecasting process after all driver adjustments and review cycles, ready for S&OP and supply planning.",Final Long Term Driver Based Fcst as approved LT output
Final Multiplying Factor,Seasonality & Mean Value Adj,Demand Planning,Statistical & ML Forecast Generation,Generates baseline demand forecasts using statistical algorithms and ML models to produce data-driven predictions at DFU level.,HIGH,Combined seasonality and mean value adjustment factor applied as a final multiplier to align forecast magnitude with expected demand patterns.,Seasonality & Mean Value Adj as final multiplying factor
Final Multiplying Factor,Seasonality & Mean Value Adj,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Combined seasonality and mean value adjustment factor applied as a final multiplier to align forecast magnitude with expected demand patterns.,Seasonality & Mean Value Adj as final multiplying factor
Adjusted Forecast NR,Adjusted Fcst NR,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Net revenue equivalent of the adjusted consensus forecast, translating volume into financial value for P&L and commercial planning.",Adjusted Fcst NR for financial revenue planning
Adjusted Forecast NR,Adjusted Fcst NR,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Net revenue equivalent of the adjusted consensus forecast, translating volume into financial value for P&L and commercial planning.",Adjusted Fcst NR for financial revenue planning
Adjusted Forecast MT LC,Adjusted MT Fcst LC,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Mid-term adjusted forecast expressed in local currency, supporting medium-horizon financial and commercial planning across regions.",Adjusted MT Fcst LC for mid-term local currency planning
Adjusted Forecast MT LC,Adjusted MT Fcst LC,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Mid-term adjusted forecast expressed in local currency, supporting medium-horizon financial and commercial planning across regions.",Adjusted MT Fcst LC for mid-term local currency planning
External fcst for constrained,Stuructural Constraints,Supply Planning,Supply Commitment Management,Tracks and manages supplier and internal supply commitments against demand requirements to ensure promise fulfillment.,HIGH,"External forecast input representing structurally constrained supply scenarios, used to align demand plans with known supply limitations.",External fcst with structural supply constraints applied
External fcst for constrained,Stuructural Constraints,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"External forecast input representing structurally constrained supply scenarios, used to align demand plans with known supply limitations.",External fcst with structural supply constraints applied
Unconstrained Adjusted Forecast,Unconstrained Forecast,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Demand forecast representing true market potential without supply-side restrictions, serving as the unconstrained demand signal for supply planning.",Unconstrained Forecast representing true market demand
PW Supply Commit,Supply Commit,Supply Planning,Supply Commitment Management,Tracks and manages supplier and internal supply commitments against demand requirements to ensure promise fulfillment.,HIGH,Partial-week supply commitment quantity representing what supply chain has confirmed it can deliver against demand in the near-term operational window.,PW Supply Commit for near-term operational fulfillment
AOP Mosaic Partial Week at DFU,AOP Mosaic Partial Week,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",HIGH,"Annual Operating Plan quantity at DFU level adjusted for partial-week alignment in the Mosaic system, enabling AOP-to-actuals comparison.",AOP Mosaic Partial Week at DFU for AOP tracking
Short Term Multiplying Factor,,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",MEDIUM,Short-term multiplicative factor applied to driver-based components to scale the forecast within the short planning horizon.,Short Term Multiplying Factor for ST driver scaling
Final Short Term Driver Based Forecast,Final Short Term Driver Based Fcst,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Final approved short-term driver-based forecast output after all driver contributions and review adjustments, used as operational demand signal.",Final ST Driver Based Fcst as approved short-term output
Long Term Multiplying Factor,,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,MEDIUM,Long-term multiplicative factor applied to strategic driver components to scale the forecast across the extended planning horizon.,Long Term Multiplying Factor for LT driver scaling
Fcst LY,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Last year's forecast at the equivalent time period, used for year-over-year forecast comparison and performance benchmarking.",Fcst LY for year-over-year forecast benchmarking
Fcst LY,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,"Last year's forecast at the equivalent time period, used for year-over-year forecast comparison and performance benchmarking.",Fcst LY for year-over-year forecast benchmarking
Fcst LLY,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Two-year-ago forecast at the equivalent time period, enabling multi-year forecast trend analysis and model validation.",Fcst LLY for multi-year forecast trend analysis
Fcst LLY,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,"Two-year-ago forecast at the equivalent time period, enabling multi-year forecast trend analysis and model validation.",Fcst LLY for multi-year forecast trend analysis
Short Term Driver Based Forecast LC,ST Driver Based Fcst LC,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term driver-based forecast expressed in local currency to support financial planning and currency-specific commercial analysis.,ST Driver Based Fcst LC for local currency financial planning
Short Term Driver Based Forecast LC,ST Driver Based Fcst LC,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Short-term driver-based forecast expressed in local currency to support financial planning and currency-specific commercial analysis.,ST Driver Based Fcst LC for local currency financial planning
PW Supply Commit LC,Supply Commit LC,Supply Planning,Supply Commitment Management,Tracks and manages supplier and internal supply commitments against demand requirements to ensure promise fulfillment.,HIGH,"Partial-week supply commitment value in local currency, enabling financial reconciliation of supply promises against demand revenue expectations.",Supply Commit LC for local currency supply commitment
PW Supply Commit LC,Supply Commit LC,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Partial-week supply commitment value in local currency, enabling financial reconciliation of supply promises against demand revenue expectations.",Supply Commit LC for local currency supply commitment
MT Driver Based Forecast LC,MT Driver Based Fcst LC,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Mid-term driver-based forecast in local currency supporting multi-horizon financial planning and commercial target setting.,MT Driver Based Fcst LC for mid-term LC planning
MT Driver Based Forecast LC,MT Driver Based Fcst LC,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Mid-term driver-based forecast in local currency supporting multi-horizon financial planning and commercial target setting.,MT Driver Based Fcst LC for mid-term LC planning
Mid Term Driver Based Forecast,MT Driver Based Fcst,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Medium-horizon demand forecast generated from business drivers, bridging short-term operational and long-term strategic planning perspectives.",MT Driver Based Fcst for medium-horizon strategic planning
Promo Driver,Promo; Promo Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term driver capturing the incremental demand uplift or cannibalization effect from promotional activities on the forecast.,Promo Driver ST capturing promotional demand uplift
Holidays Driver,Holidays Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term driver representing demand impact of holiday periods and public events on consumer purchasing patterns.,Holidays Driver ST for holiday demand impact quantification
Media Driver,Media; A&M Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term driver capturing demand uplift generated by advertising and media investment activities in the planning period.,A&M Driver ST capturing media-driven demand uplift
Weather Driver,Weather Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Short-term driver quantifying demand sensitivity to weather conditions (temperature, rainfall, etc.) in the forecast horizon.",Weather Driver ST for weather-sensitive demand adjustment
SNOP Target,S&OP Plan,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",HIGH,The agreed Sales & Operations Planning volume target used as the reference plan for supply and demand alignment across functions.,S&OP Plan target for cross-functional demand-supply alignment
XYZ,FE XYZ Segmentation,Demand Planning,Demand Segmentation & Classification,"Classifies products, customers, and demand streams using ABC/XYZ and other frameworks for differentiated planning treatment.",HIGH,"XYZ demand variability segmentation classifying products by forecast uncertainty (X=stable, Y=variable, Z=erratic) to differentiate planning approaches.",FE XYZ Segmentation for demand variability classification
ABC,FE ABC Segmentation,Demand Planning,Demand Segmentation & Classification,"Classifies products, customers, and demand streams using ABC/XYZ and other frameworks for differentiated planning treatment.",HIGH,"ABC volume/revenue segmentation classifying products by contribution (A=high, B=medium, C=low) to prioritize planning effort and resources.",FE ABC Segmentation for volume/revenue classification
Channel Trend,Channel Trend Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Adjustment capturing the incremental or decremental demand effect of evolving channel dynamics (e.g., e-commerce growth, trade channel shifts).",Channel Trend Adj for channel dynamics demand adjustment
External Forecast,External Fcst,Demand Planning,External Forecast Integration,"Integrates external system forecasts (e.g., JDA, Mosaic) and market-based signals into the planning workflow.",HIGH,"Demand forecast provided by an external source (customer, partner, or market data provider) ingested into the planning process for benchmarking.",External Fcst ingested for benchmark and collaboration
External forecast Adj,External Fcst Adj,Demand Planning,External Forecast Integration,"Integrates external system forecasts (e.g., JDA, Mosaic) and market-based signals into the planning workflow.",HIGH,"Planner-applied adjustment to the external forecast, reconciling differences between external signals and internal demand views.",External Fcst Adj for reconciling external with internal view
External forecast Adj,External Fcst Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Planner-applied adjustment to the external forecast, reconciling differences between external signals and internal demand views.",External Fcst Adj for reconciling external with internal view
Promotions Investment,"Trade Promotions/ Investment in promotions (discounts, samples, offers); Promo Adj",Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Manual adjustment representing the demand impact of trade promotion investments including discounts, samples, and special offers.",Promo Adj for trade promotion investment demand impact
Promotions Investment,"Trade Promotions/ Investment in promotions (discounts, samples, offers); Promo Adj",Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,"Manual adjustment representing the demand impact of trade promotion investments including discounts, samples, and special offers.",Promo Adj for trade promotion investment demand impact
Product Line expansion existing cust,Distribution Adj,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,Adjustment capturing incremental demand from expanding product distribution to existing customers or new distribution points.,Distribution Adj for product line expansion to existing cust
Product Line expansion existing cust,Distribution Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Adjustment capturing incremental demand from expanding product distribution to existing customers or new distribution points.,Distribution Adj for product line expansion to existing cust
Cannibalization,Cannibalization/ Halo; Cannibalization Adj,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,Adjustment accounting for demand transfer between products where a new or promoted item cannibalizes or creates halo effects on existing SKUs.,Cannibalization Adj for demand transfer between products
Cannibalization,Cannibalization/ Halo; Cannibalization Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Adjustment accounting for demand transfer between products where a new or promoted item cannibalizes or creates halo effects on existing SKUs.,Cannibalization Adj for demand transfer between products
Portfolio Evolution,"Portfolio Evolution (NPI, Phase In / Phase Out); Portfolio Adj",Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,Adjustment reflecting demand changes from portfolio lifecycle events including new product introductions and phase-in/phase-out activities.,"Portfolio Adj for NPI, phase-in/phase-out demand impact"
Portfolio Evolution,"Portfolio Evolution (NPI, Phase In / Phase Out); Portfolio Adj",Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Adjustment reflecting demand changes from portfolio lifecycle events including new product introductions and phase-in/phase-out activities.,"Portfolio Adj for NPI, phase-in/phase-out demand impact"
Adjusted Forecast in Kg/Lts,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,Consensus adjusted forecast expressed in weight (kg) or volume (litres) units of measure for manufacturing and supply planning in physical quantities.,Adjusted Forecast in Kg/Lts for physical UOM planning
Adjusted Forecast in Cases,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,"Consensus adjusted forecast expressed in cases/units for logistics, warehousing, and distribution planning purposes.",Adjusted Forecast in Cases for logistics planning
DFU,,Demand Planning,Demand Segmentation & Classification,"Classifies products, customers, and demand streams using ABC/XYZ and other frameworks for differentiated planning treatment.",HIGH,"Demand Forecast Unit — the granular planning entity combining product, location, and customer attributes at which demand is forecast and managed.",DFU as the fundamental demand planning granularity entity
Base Driver,Base Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Short-term base demand driver representing the underlying demand trend before incremental adjustments for promotions, events, or other factors.",Base Driver ST as underlying demand trend component
R&O MT Portfolio Adj,R&O Portfolio Adj,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,"Mid-term risk and opportunity adjustment for portfolio-related events (NPIs, discontinuations) quantifying upside/downside to the base forecast.",R&O Portfolio Adj for mid-term portfolio risk/opportunity
R&O MT Promo Adj,R&O Promo Adj,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,Mid-term risk and opportunity adjustment capturing potential incremental or negative demand from planned and anticipated promotions.,R&O Promo Adj for promotional demand risk/opportunity
R&O MT Cannibalization Adj,R&O Cannibalization Adj,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,Mid-term risk and opportunity adjustment quantifying demand cannibalization risk from portfolio changes or competitive dynamics.,R&O Cannibalization Adj for cannibalization risk quantification
R&O MT Distribution Adj,R&O Distribution Adj,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,Mid-term risk and opportunity adjustment reflecting potential upside or downside from distribution changes and channel expansion risks.,R&O Distribution Adj for distribution-driven demand risk
R&O MT Channel Trend Adj,R&O Channel Trend Adj,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,Mid-term risk and opportunity adjustment capturing evolving channel mix shifts that could accelerate or decelerate demand.,R&O Channel Trend Adj for channel evolution risk/opportunity
R&O MT Perfect Store,R&O Perfect Store,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,"Mid-term risk and opportunity adjustment for Perfect Store execution metrics, quantifying demand upside from improved in-store availability and compliance.",R&O Perfect Store for execution-driven demand opportunity
R&O MT VMI,R&O VMI,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,"Mid-term risk and opportunity adjustment for Vendor Managed Inventory programs, capturing demand visibility and inventory replenishment upside.",R&O VMI for vendor managed inventory demand opportunity
R&O D&A Rate Adj,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,Risk and opportunity adjustment for Discounts & Allowances rate changes impacting net revenue realization from the volume forecast.,R&O D&A Rate Adj for discount & allowance revenue impact
R&O D&A Rate Adj,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Risk and opportunity adjustment for Discounts & Allowances rate changes impacting net revenue realization from the volume forecast.,R&O D&A Rate Adj for discount & allowance revenue impact
R&O Advertising Adj,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,Risk and opportunity adjustment quantifying demand upside or downside from changes in advertising investment levels and media effectiveness.,R&O Advertising Adj for advertising investment demand impact
R&O MT Trade Promo Adj,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,"Mid-term risk and opportunity adjustment for trade promotion activities, capturing the incremental demand effect of planned trade investments.",R&O MT Trade Promo Adj for trade promotion demand risk
R&O Trade Partners Adj,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,"Risk and opportunity adjustment for changes in trade partner relationships, distribution agreements, or customer portfolio shifts.",R&O Trade Partners Adj for distribution partner demand risk
R&O List Price Adj,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,Risk and opportunity adjustment for list price changes quantifying the volume and revenue elasticity impact on the demand forecast.,R&O List Price Adj for price change demand/revenue impact
R&O List Price Adj,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Risk and opportunity adjustment for list price changes quantifying the volume and revenue elasticity impact on the demand forecast.,R&O List Price Adj for price change demand/revenue impact
R&O Price Pack Architecture Adj,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,"Risk and opportunity adjustment for price-pack architecture changes (pack size, format shifts) and their demand elasticity implications.",R&O Price Pack Architecture Adj for pack change demand impact
Adjusted History LLLY,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Three-year-ago adjusted and cleansed historical demand data providing the deepest baseline layer for model training and seasonality decomposition.,Adjusted History LLLY for deepest historical baseline
Media Driver LT,A&M Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Long/mid-term driver capturing the sustained demand impact of advertising and media investment over the strategic planning horizon.,A&M Driver MT for long-term media investment demand impact
Holidays Driver LT,Holidays Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Long/mid-term driver representing holiday and event calendar effects on demand for the strategic planning horizon.,Holidays Driver MT for long-term holiday demand impact
Promo Driver LT,Promo Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Long/mid-term driver capturing the planned promotional demand uplift over the strategic planning horizon.,Promo Driver MT for long-term promotional demand impact
Base Driver LT,Base Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Long/mid-term underlying demand trend driver representing the baseline market demand trajectory over the strategic horizon.,Base Driver MT as strategic horizon baseline demand trend
AOP Forecast Mosaic NR,AOP NR,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",HIGH,"Annual Operating Plan net revenue target from the Mosaic system, used as the financial benchmark for forecast-to-plan gap analysis.",AOP NR as financial benchmark for forecast-to-plan tracking
AOP Forecast Mosaic NR,AOP NR,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Annual Operating Plan net revenue target from the Mosaic system, used as the financial benchmark for forecast-to-plan gap analysis.",AOP NR as financial benchmark for forecast-to-plan tracking
Actual_Loc,Actual,Demand Planning,Demand Sensing & Actuals Tracking,Captures near-term demand actuals and signals at location and DFU level for operational and short-horizon planning.,HIGH,"Actual demand quantity captured at the location level, enabling granular location-specific demand signal tracking and model recalibration.",Actual demand at location level for granular tracking
